integer_overflow_multitx_onefunc_feasible IntegerOverflowMultiTxOneFuncFeasible 0.255902
integer_overflow_add IntegerOverflowAdd 0.383817
integer_overflow_mul IntegerOverflowMul 0.267579
overflow_single_tx IntegerOverflowSingleTransaction 0.250379
overflow_simple_add Overflow_Add 0.215443
insecure_transfer IntegerOverflowAdd 0.210487
integer_overflow_1 Overflow 0.251037
integer_overflow_minimal IntegerOverflowMinimal 0.212682
tokensalechallenge TokenSaleChallenge 0.283425
BECToken PausableToken 0.820266
timelock TimeLock 0.233454
integer_overflow_benign_1 IntegerOverflowBenign1 0.236287
integer_overflow_multitx_multifunc_feasible IntegerOverflowMultiTxMultiFuncFeasible 0.22475
integer_overflow_mapping_sym_1 IntegerOverflowMappingSym1 0.242889
token Token 0.238177
