patch path, patch vulnerability report, original contract vulnerability report
unchecked_low_level_calls/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.bin,unchecked_low_level_calls/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.patch.bugs.json,unchecked_low_level_calls/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.bugs.json
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220.bin,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220.patch.bugs.json,unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220.bugs.json
unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.bin,unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.patch.bugs.json,unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.bugs.json
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.bin,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.patch.bugs.json,unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.bugs.json
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707.bin,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707.patch.bugs.json,unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707.bugs.json
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.bin,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.patch.bugs.json,unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.bugs.json
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431.bin,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431.patch.bugs.json,unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431.bugs.json
unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.bin,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.patch.bugs.json,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.bugs.json
unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.bin,unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.patch.bugs.json,unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.bugs.json
unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.bin,unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.patch.bugs.json,unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.bugs.json
unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.bin,unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.patch.bugs.json,unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.bugs.json
unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.bin,unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.patch.bugs.json,unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76/0xd2018bfaa266a9ec0a1a84b061640faa009def76.bugs.json
unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.bin,unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.patch.bugs.json,unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.bugs.json
unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.bin,unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.patch.bugs.json,unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.bugs.json
unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.bin,unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.patch.bugs.json,unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.bugs.json
