file1,file2,diff
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4/0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3/0x663e4229142a27f00bafb5d087e1e730648314c3.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/king_of_the_ether_throne/king_of_the_ether_throne.sol,smartbugs-curated/dataset/unchecked_low_level_calls/king_of_the_ether_throne.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/etherpot_lotto/etherpot_lotto.sol,smartbugs-curated/dataset/unchecked_low_level_calls/etherpot_lotto.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,smartbugs-curated/dataset/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/unchecked_low_level_calls/lotto/lotto.sol,smartbugs-curated/dataset/unchecked_low_level_calls/lotto.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/bad_randomness/guess_the_random_number/guess_the_random_number.sol,smartbugs-curated/dataset/bad_randomness/guess_the_random_number.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/bad_randomness/old_blockhash/old_blockhash.sol,smartbugs-curated/dataset/bad_randomness/old_blockhash.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/bad_randomness/smart_billions/smart_billions.sol,smartbugs-curated/dataset/bad_randomness/smart_billions.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/bad_randomness/lucky_doubler/lucky_doubler.sol,smartbugs-curated/dataset/bad_randomness/lucky_doubler.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/bad_randomness/etheraffle/etheraffle.sol,smartbugs-curated/dataset/bad_randomness/etheraffle.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/timelock/timelock.sol,smartbugs-curated/dataset/arithmetic/timelock.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/integer_overflow_add/integer_overflow_add.sol,smartbugs-curated/dataset/arithmetic/integer_overflow_add.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/tokensalechallenge/tokensalechallenge.sol,smartbugs-curated/dataset/arithmetic/tokensalechallenge.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/token/token.sol,smartbugs-curated/dataset/arithmetic/token.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/integer_overflow_multitx_onefunc_feasible/integer_overflow_multitx_onefunc_feasible.sol,smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_onefunc_feasible.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/overflow_single_tx/overflow_single_tx.sol,smartbugs-curated/dataset/arithmetic/overflow_single_tx.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/overflow_simple_add/overflow_simple_add.sol,smartbugs-curated/dataset/arithmetic/overflow_simple_add.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/integer_overflow_benign_1/integer_overflow_benign_1.sol,smartbugs-curated/dataset/arithmetic/integer_overflow_benign_1.sol,True
/home/mokita/sc_study/RepairComp/results/smartbugs/SmartFix/arithmetic/integer_overflow_1/integer_overflow_1.sol,smartbugs-curated/dataset/arithmetic/integer_overflow_1.sol,True
