patch path, patch vulnerability report, original contract vulnerability report
time_manipulation/ether_lotto/ether_lotto.sol,time_manipulation/ether_lotto/reports/patch_vulnerability_report.csv,time_manipulation/ether_lotto/reports/vulnerability_report.csv
bad_randomness/old_blockhash/old_blockhash.sol,bad_randomness/old_blockhash/reports/patch_vulnerability_report.csv,bad_randomness/old_blockhash/reports/vulnerability_report.csv
bad_randomness/etheraffle/etheraffle.sol,bad_randomness/etheraffle/reports/patch_vulnerability_report.csv,bad_randomness/etheraffle/reports/vulnerability_report.csv
bad_randomness/smart_billions/smart_billions.sol,bad_randomness/smart_billions/reports/patch_vulnerability_report.csv,bad_randomness/smart_billions/reports/vulnerability_report.csv
bad_randomness/lucky_doubler/lucky_doubler.sol,bad_randomness/lucky_doubler/reports/patch_vulnerability_report.csv,bad_randomness/lucky_doubler/reports/vulnerability_report.csv
denial_of_service/list_dos/list_dos.sol,denial_of_service/list_dos/reports/patch_vulnerability_report.csv,denial_of_service/list_dos/reports/vulnerability_report.csv
reentrancy/reentrancy_bonus/reentrancy_bonus.sol,reentrancy/reentrancy_bonus/reports/patch_vulnerability_report.csv,reentrancy/reentrancy_bonus/reports/vulnerability_report.csv
reentrancy/etherbank/etherbank.sol,reentrancy/etherbank/reports/patch_vulnerability_report.csv,reentrancy/etherbank/reports/vulnerability_report.csv
front_running/odds_and_evens/odds_and_evens.sol,front_running/odds_and_evens/reports/patch_vulnerability_report.csv,front_running/odds_and_evens/reports/vulnerability_report.csv
arithmetic/tokensalechallenge/tokensalechallenge.sol,arithmetic/tokensalechallenge/reports/patch_vulnerability_report.csv,arithmetic/tokensalechallenge/reports/vulnerability_report.csv
arithmetic/overflow_single_tx/overflow_single_tx.sol,arithmetic/overflow_single_tx/reports/patch_vulnerability_report.csv,arithmetic/overflow_single_tx/reports/vulnerability_report.csv
access_control/parity_wallet_bug_2/parity_wallet_bug_2.sol,access_control/parity_wallet_bug_2/reports/patch_vulnerability_report.csv,access_control/parity_wallet_bug_2/reports/vulnerability_report.csv
access_control/rubixi/rubixi.sol,access_control/rubixi/reports/patch_vulnerability_report.csv,access_control/rubixi/reports/vulnerability_report.csv
access_control/FibonacciBalance/FibonacciBalance.sol,access_control/FibonacciBalance/reports/patch_vulnerability_report.csv,access_control/FibonacciBalance/reports/vulnerability_report.csv
unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3/0x663e4229142a27f00bafb5d087e1e730648314c3.sol,unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3/reports/vulnerability_report.csv
unchecked_low_level_calls/king_of_the_ether_throne/king_of_the_ether_throne.sol,unchecked_low_level_calls/king_of_the_ether_throne/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/king_of_the_ether_throne/reports/vulnerability_report.csv
unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/reports/vulnerability_report.csv
unchecked_low_level_calls/etherpot_lotto/etherpot_lotto.sol,unchecked_low_level_calls/etherpot_lotto/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/etherpot_lotto/reports/vulnerability_report.csv
other/crypto_roulette/crypto_roulette.sol,other/crypto_roulette/reports/patch_vulnerability_report.csv,other/crypto_roulette/reports/vulnerability_report.csv
other/open_address_lottery/open_address_lottery.sol,other/open_address_lottery/reports/patch_vulnerability_report.csv,other/open_address_lottery/reports/vulnerability_report.csv
