patch path, patch vulnerability report, original contract vulnerability report
unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/reports/vulnerability_report.csv
unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/reports/vulnerability_report.csv
unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488/reports/vulnerability_report.csv
unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27/reports/vulnerability_report.csv
unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/reports/vulnerability_report.csv
unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/reports/vulnerability_report.csv
unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6/reports/vulnerability_report.csv
unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4/0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4/reports/vulnerability_report.csv
unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c/reports/vulnerability_report.csv
unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739/reports/vulnerability_report.csv
unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/reports/patch_vulnerability_report.csv,unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/reports/vulnerability_report.csv
