smart contract path,number of bugs detected
unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220/0xe894d54dca59cb53fe9cbc5155093605c7068220.metadata.json,1
unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.metadata.json,3
unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.metadata.json,1
unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707/0xf29ebe930a539a60279ace72c707cba851a57707.metadata.json,2
unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.metadata.json,1
unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431/0xa1fceeff3acc57d257b917e30c4df661401d6431.metadata.json,1
unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.metadata.json,2
unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928/0xe09b1ab8111c2729a76f16de96bc86a7af837928.metadata.json,7
unchecked_low_level_calls/0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c/0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.metadata.json,1
unchecked_low_level_calls/0xbaa3de6504690efb064420d89e871c27065cdd52/0xbaa3de6504690efb064420d89e871c27065cdd52.metadata.json,1
unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.metadata.json,1
unchecked_low_level_calls/mishandled/mishandled.metadata.json,1
unchecked_low_level_calls/unchecked_return_value/unchecked_return_value.metadata.json,1
unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3/0x4051334adc52057aca763453820cb0e045076ef3.metadata.json,1
unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.metadata.json,2
unchecked_low_level_calls/king_of_the_ether_throne/king_of_the_ether_throne.metadata.json,5
unchecked_low_level_calls/etherpot_lotto/etherpot_lotto.metadata.json,3
unchecked_low_level_calls/0xd5967fed03e85d1cce44cab284695b41bc675b5c/0xd5967fed03e85d1cce44cab284695b41bc675b5c.metadata.json,1
unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.metadata.json,1
unchecked_low_level_calls/0x524960d55174d912768678d8c606b4d50b79d7b1/0x524960d55174d912768678d8c606b4d50b79d7b1.metadata.json,1
unchecked_low_level_calls/lotto/lotto.metadata.json,1
