Patch,Original,Category,Tool,DIFF,COMP,Valid Patches,Detected,Fixed,Maintained,link
short_address_example.bin,short_address_example.sol,short_addresses,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/short_addresses/short_address_example/short_address_example.bin
lottopollo.bin,lottopollo.sol,time_manipulation,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/time_manipulation/lottopollo/lottopollo.bin
timed_crowdsale.bin,timed_crowdsale.sol,time_manipulation,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/time_manipulation/timed_crowdsale/timed_crowdsale.bin
ether_lotto.bin,ether_lotto.sol,time_manipulation,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/time_manipulation/ether_lotto/ether_lotto.bin
roulette.bin,roulette.sol,time_manipulation,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/time_manipulation/roulette/roulette.bin
governmental_survey.bin,governmental_survey.sol,time_manipulation,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/time_manipulation/governmental_survey/governmental_survey.bin
old_blockhash.bin,old_blockhash.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/old_blockhash/old_blockhash.bin
lottery.bin,lottery.sol,bad_randomness,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/lottery/lottery.bin
etheraffle.bin,etheraffle.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/etheraffle/etheraffle.bin
random_number_generator.bin,random_number_generator.sol,bad_randomness,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/random_number_generator/random_number_generator.bin
smart_billions.bin,smart_billions.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/smart_billions/smart_billions.bin
lucky_doubler.bin,lucky_doubler.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/lucky_doubler/lucky_doubler.bin
blackjack.bin,blackjack.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/blackjack/blackjack.bin
guess_the_random_number.bin,guess_the_random_number.sol,bad_randomness,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/guess_the_random_number/guess_the_random_number.bin
dos_number.bin,dos_number.sol,denial_of_service,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_number/dos_number.bin
auction.bin,auction.sol,denial_of_service,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/auction/auction.bin
send_loop.bin,send_loop.sol,denial_of_service,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/send_loop/send_loop.bin
dos_simple.bin,dos_simple.sol,denial_of_service,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_simple/dos_simple.bin
list_dos.bin,list_dos.sol,denial_of_service,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/list_dos/list_dos.bin
dos_address.bin,dos_address.sol,denial_of_service,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_address/dos_address.bin
0xf015c35649c82f5467c9c74b7f28ee67665aad68.bin,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68/0xf015c35649c82f5467c9c74b7f28ee67665aad68.bin
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.bin,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.bin
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.bin,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.bin
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.bin,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.bin
reentrancy_bonus.bin,reentrancy_bonus.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_bonus/reentrancy_bonus.bin
reentrancy_dao.bin,reentrancy_dao.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_dao/reentrancy_dao.bin
reentrancy_insecure.bin,reentrancy_insecure.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_insecure/reentrancy_insecure.bin
reentrancy_cross_function.bin,reentrancy_cross_function.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_cross_function/reentrancy_cross_function.bin
etherbank.bin,etherbank.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/etherbank/etherbank.bin
reentrance.bin,reentrance.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrance/reentrance.bin
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.bin,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.bin
0x7541b76cb60f4c60af330c208b0623b7f54bf615.bin,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615.bin
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.bin,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.bin
etherstore.bin,etherstore.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/etherstore/etherstore.bin
0x93c32845fae42c83a70e5f06214c8433665c2ab5.bin,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5/0x93c32845fae42c83a70e5f06214c8433665c2ab5.bin
modifier_reentrancy.bin,modifier_reentrancy.sol,reentrancy,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/modifier_reentrancy/modifier_reentrancy.bin
simple_dao.bin,simple_dao.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/simple_dao/simple_dao.bin
reentrancy_simple.bin,reentrancy_simple.sol,reentrancy,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_simple/reentrancy_simple.bin
FindThisHash.bin,FindThisHash.sol,front_running,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/FindThisHash/FindThisHash.bin
eth_tx_order_dependence_minimal.bin,eth_tx_order_dependence_minimal.sol,front_running,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal.bin
odds_and_evens.bin,odds_and_evens.sol,front_running,Elysium,True,,True,0,0,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/odds_and_evens/odds_and_evens.bin
ERC20.bin,ERC20.sol,front_running,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/ERC20/ERC20.bin
integer_overflow_mul.bin,integer_overflow_mul.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_mul/integer_overflow_mul.bin
BECToken.bin,BECToken.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/BECToken/BECToken.bin
token.bin,token.sol,arithmetic,Elysium,True,,True,3,3,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/token/token.bin
insecure_transfer.bin,insecure_transfer.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/insecure_transfer/insecure_transfer.bin
integer_overflow_mapping_sym_1.bin,integer_overflow_mapping_sym_1.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_mapping_sym_1/integer_overflow_mapping_sym_1.bin
integer_overflow_benign_1.bin,integer_overflow_benign_1.sol,arithmetic,Elysium,False,,False,,,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_benign_1/integer_overflow_benign_1.bin
integer_overflow_minimal.bin,integer_overflow_minimal.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_minimal/integer_overflow_minimal.bin
tokensalechallenge.bin,tokensalechallenge.sol,arithmetic,Elysium,True,,True,2,2,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/tokensalechallenge/tokensalechallenge.bin
overflow_simple_add.bin,overflow_simple_add.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/overflow_simple_add/overflow_simple_add.bin
integer_overflow_multitx_onefunc_feasible.bin,integer_overflow_multitx_onefunc_feasible.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_multitx_onefunc_feasible/integer_overflow_multitx_onefunc_feasible.bin
integer_overflow_multitx_multifunc_feasible.bin,integer_overflow_multitx_multifunc_feasible.sol,arithmetic,Elysium,True,,True,1,1,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_multitx_multifunc_feasible/integer_overflow_multitx_multifunc_feasible.bin
timelock.bin,timelock.sol,arithmetic,Elysium,True,,True,2,2,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/timelock/timelock.bin
overflow_single_tx.bin,overflow_single_tx.sol,arithmetic,Elysium,True,,True,3,3,0,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/overflow_single_tx/overflow_single_tx.bin
