smart contract path,number of bugs detected
smartbugs-curated/dataset/unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,0
smartbugs-curated/dataset/unchecked_low_level_calls/lotto.sol,0
smartbugs-curated/dataset/bad_randomness/old_blockhash.sol,0
smartbugs-curated/dataset/arithmetic/timelock.sol,0
smartbugs-curated/dataset/arithmetic/tokensalechallenge.sol,0
smartbugs-curated/dataset/denial_of_service/auction.sol,0
smartbugs-curated/dataset/time_manipulation/ether_lotto.sol,0
smartbugs-curated/dataset/time_manipulation/governmental_survey.sol,0
smartbugs-curated/dataset/time_manipulation/lottopollo.sol,0
smartbugs-curated/dataset/front_running/odds_and_evens.sol,0
smartbugs-curated/dataset/front_running/eth_tx_order_dependence_minimal.sol,0
smartbugs-curated/dataset/other/crypto_roulette.sol,0
smartbugs-curated/dataset/access_control/phishable.sol,0
smartbugs-curated/dataset/access_control/FibonacciBalance.sol,0
smartbugs-curated/dataset/access_control/wallet_04_confused_sign.sol,0
smartbugs-curated/dataset/access_control/wallet_02_refund_nosub.sol,0
smartbugs-curated/dataset/access_control/wallet_03_wrong_constructor.sol,0
smartbugs-curated/dataset/access_control/mycontract.sol,0
