smart contract path, number of bugs detected
smartbugs-curated/dataset/bad_randomness/guess_the_random_number.sol,0
smartbugs-curated/dataset/bad_randomness/old_blockhash.sol,0
smartbugs-curated/dataset/bad_randomness/blackjack.sol,0
smartbugs-curated/dataset/bad_randomness/etheraffle.sol,0
smartbugs-curated/dataset/arithmetic/integer_overflow_benign_1.sol,0
smartbugs-curated/dataset/arithmetic/integer_overflow_1.sol,0
smartbugs-curated/dataset/arithmetic/integer_overflow_multitx_multifunc_feasible.sol,0
smartbugs-curated/dataset/denial_of_service/dos_number.sol,0
smartbugs-curated/dataset/denial_of_service/dos_address.sol,0
smartbugs-curated/dataset/denial_of_service/send_loop.sol,0
smartbugs-curated/dataset/denial_of_service/auction.sol,0
smartbugs-curated/dataset/reentrancy/modifier_reentrancy.sol,0
smartbugs-curated/dataset/time_manipulation/ether_lotto.sol,0
smartbugs-curated/dataset/time_manipulation/roulette.sol,0
smartbugs-curated/dataset/time_manipulation/timed_crowdsale.sol,0
smartbugs-curated/dataset/short_addresses/short_address_example.sol,0
smartbugs-curated/dataset/front_running/ERC20.sol,0
smartbugs-curated/dataset/front_running/FindThisHash.sol,0
smartbugs-curated/dataset/front_running/eth_tx_order_dependence_minimal.sol,0
smartbugs-curated/dataset/other/open_address_lottery.sol,0
smartbugs-curated/dataset/other/name_registrar.sol,0
smartbugs-curated/dataset/access_control/arbitrary_location_write_simple.sol,0
smartbugs-curated/dataset/access_control/incorrect_constructor_name3.sol,0
smartbugs-curated/dataset/access_control/FibonacciBalance.sol,0
smartbugs-curated/dataset/access_control/proxy.sol,0
smartbugs-curated/dataset/access_control/incorrect_constructor_name2.sol,0
smartbugs-curated/dataset/access_control/incorrect_constructor_name1.sol,0
smartbugs-curated/dataset/access_control/multiowned_vulnerable.sol,0
smartbugs-curated/dataset/access_control/unprotected0.sol,0
