Contract,Category,SmartShield,sGuard,Aroc,Elysium,TIPS,SmartFix,sGuardPlus,PatchCount
parity_wallet_bug_1.sol,access_control,,,,,,,,0
dos_number.sol,denial_of_service,,,,False,True,,,1
send_loop.sol,denial_of_service,True,False,,False,True,,,2
timed_crowdsale.sol,time_manipulation,True,,,False,True,,,2
random_number_generator.sol,bad_randomness,True,,,False,True,,,2
name_registrar.sol,other,True,,,False,True,,,2
unprotected0.sol,access_control,True,,,False,True,,,2
multiowned_vulnerable.sol,access_control,True,,,False,True,,,2
ERC20.sol,front_running,True,,,False,True,,,2
lottery.sol,bad_randomness,False,False,,False,True,,True,2
dos_simple.sol,denial_of_service,,,,False,True,,True,2
dos_address.sol,denial_of_service,,,,True,True,,,2
short_address_example.sol,short_addresses,True,,,True,True,,,3
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,unchecked_low_level_calls,True,False,True,False,True,,,3
FindThisHash.sol,front_running,True,False,,False,True,True,,3
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,unchecked_low_level_calls,True,False,True,False,True,,,3
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,unchecked_low_level_calls,True,False,True,False,True,,,3
smart_billions.sol,bad_randomness,True,,,True,,True,,3
blackjack.sol,bad_randomness,True,,,True,True,,,3
spank_chain_payment.sol,reentrancy,,True,True,,True,,,3
0xf2570186500a46986f3139f65afedc2afe4f445d.sol,unchecked_low_level_calls,True,False,True,False,True,,,3
proxy.sol,access_control,True,False,,True,True,,,3
parity_wallet_bug_2.sol,access_control,,,,True,True,True,,3
simple_suicide.sol,access_control,False,False,,True,True,True,True,4
auction.sol,denial_of_service,True,True,,False,True,True,,4
rubixi.sol,access_control,,,,True,True,True,True,4
incorrect_constructor_name2.sol,access_control,True,False,,True,True,True,,4
incorrect_constructor_name1.sol,access_control,True,False,,True,True,True,,4
mapping_write.sol,access_control,True,False,,True,True,,True,4
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,unchecked_low_level_calls,True,False,True,False,True,,True,4
crypto_roulette.sol,other,True,True,,,True,True,,4
incorrect_constructor_name3.sol,access_control,True,False,,True,True,True,,4
open_address_lottery.sol,other,True,True,,,True,True,,4
0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,unchecked_low_level_calls,True,False,True,True,True,,,4
