Contract,Category,SmartShield,sGuard,Aroc,Elysium,TIPS,SmartFix,sGuardPlus
FibonacciBalance.sol,access_control,True,True,WIP,True,True,True,False
arbitrary_location_write_simple.sol,access_control,True,True,WIP,True,True,True,False
incorrect_constructor_name1.sol,access_control,True,True,WIP,True,True,True,False
incorrect_constructor_name2.sol,access_control,True,True,WIP,True,True,True,False
incorrect_constructor_name3.sol,access_control,True,True,WIP,True,True,True,False
mapping_write.sol,access_control,True,True,WIP,True,True,False,True
multiowned_vulnerable.sol,access_control,True,False,WIP,True,True,False,False
mycontract.sol,access_control,True,True,WIP,True,True,True,True
parity_wallet_bug_1.sol,access_control,True,False,WIP,False,False,False,False
parity_wallet_bug_2.sol,access_control,False,False,WIP,True,True,True,False
phishable.sol,access_control,True,True,WIP,True,True,True,True
proxy.sol,access_control,True,True,WIP,True,True,False,False
rubixi.sol,access_control,False,False,WIP,True,False,True,True
simple_suicide.sol,access_control,True,True,WIP,True,True,True,True
unprotected0.sol,access_control,True,False,WIP,True,True,False,False
wallet_02_refund_nosub.sol,access_control,True,True,WIP,True,True,True,True
wallet_03_wrong_constructor.sol,access_control,True,True,WIP,True,True,True,True
wallet_04_confused_sign.sol,access_control,True,True,WIP,True,True,True,True
BECToken.sol,arithmetic,True,False,WIP,True,True,True,False
insecure_transfer.sol,arithmetic,True,False,WIP,True,True,False,True
integer_overflow_1.sol,arithmetic,True,False,WIP,True,True,True,False
integer_overflow_add.sol,arithmetic,True,False,WIP,True,True,True,True
integer_overflow_benign_1.sol,arithmetic,True,False,WIP,True,True,True,False
integer_overflow_mapping_sym_1.sol,arithmetic,True,False,WIP,True,True,True,True
integer_overflow_minimal.sol,arithmetic,True,False,WIP,True,True,True,True
integer_overflow_mul.sol,arithmetic,True,False,WIP,True,True,True,True
integer_overflow_multitx_multifunc_feasible.sol,arithmetic,True,False,WIP,True,True,True,False
integer_overflow_multitx_onefunc_feasible.sol,arithmetic,True,False,WIP,True,True,True,True
